100000 0 1 1 4 5 5 2 1 1 0 0
98745 1 0 2 3 1 4 1 4 1 3 0
97505 1 0 1 3 3 3 2 4 0 1 2
96282 0 0 1 4 7 2 2 2 1 2 3
95074 0 0 0 2 4 3 3 5 1 3 0
93880 0 0 0 4 4 4 3 3 2 0 0
92702 0 1 0 6 4 1 4 5 0 0 1
91539 1 1 0 4 2 1 4 3 2 1 1
90390 0 0 0 4 3 5 4 1 1 1 1
89256 0 1 1 2 2 1 4 5 3 3 0
88136 0 0 0 3 6 2 8 2 1 2 1
87030 0 0 0 3 4 6 3 3 1 0 1
85938 0 0 0 6 3 4 2 3 2 2 0
84859 0 0 0 9 3 4 1 4 1 1 0
83794 0 0 0 7 4 3 4 5 0 2 1
82743 0 0 0 5 4 4 2 4 2 1 0
81704 0 0 0 6 3 4 4 4 1 0 2
80679 0 0 0 7 3 2 7 2 1 0 1
79667 0 0 0 6 2 3 2 6 2 1 0
78667 0 0 0 3 6 3 3 3 2 1 1
77680 0 0 0 5 3 2 3 4 1 1 1
76705 0 0 0 2 5 3 1 4 2 3 0
75742 0 0 0 7 1 3 3 3 2 2 0
74792 0 0 0 7 5 3 2 4 1 2 0
73853 0 0 0 4 3 2 5 5 0 2 0
72927 0 0 0 6 2 1 4 4 0 1 2
72011 0 0 0 3 2 7 2 3 1 0 1
71108 0 0 0 5 5 4 1 4 0 1 1
70215 0 0 0 6 3 2 3 5 0 1 1
69334 0 0 0 5 3 2 6 6 0 0 1
68464 0 0 0 4 3 5 3 5 0 1 1
67605 0 0 0 5 1 3 4 9 0 2 1
66757 0 0 0 4 3 4 5 6 1 1 0
65919 0 0 0 3 4 2 5 6 1 1 0
65092 0 0 0 6 3 4 6 4 1 2 0
64275 0 0 0 6 2 3 3 5 2 0 1
63468 0 0 0 5 3 2 2 5 2 0 1
62672 0 0 0 2 6 4 3 3 1 1 2
61885 0 0 0 3 4 5 2 3 1 1 1
61109 0 0 0 5 4 2 4 5 1 0 0
60342 0 0 0 4 2 4 6 4 1 1 0
59585 0 0 0 3 5 6 3 4 2 0 1
58837 0 0 0 6 4 5 5 3 2 1 0
58098 0 0 0 5 2 9 4 4 2 1 0
57369 0 0 0 4 2 3 4 2 3 1 0
56649 0 0 0 3 3 4 3 6 3 0 0
55939 0 0 0 4 5 2 1 7 1 2 0
55237 0 0 0 5 3 3 4 6 0 1 1
54543 0 0 0 3 3 4 4 5 0 2 0
53859 0 0 0 6 3 3 4 6 0 1 2
53183 0 0 0 6 1 2 4 6 1 1 1
52516 0 0 0 4 3 4 1 3 1 1 2
51857 0 0 0 7 3 0 4 4 1 0 2
51206 0 0 0 5 5 2 3 3 0 1 1
50563 0 0 0 4 2 8 2 3 0 1 0
49929 0 0 0 5 3 4 3 4 1 1 0
49302 0 0 0 4 5 3 3 4 1 1 1
48683 0 0 0 7 3 4 2 7 1 0 1
48073 0 0 0 7 6 3 3 4 0 0 1
47469 0 0 0 7 4 2 2 6 0 1 1
46874 0 0 0 3 6 5 3 1 0 3 1
46285 0 0 0 4 6 5 2 4 1 0 0
45704 0 0 0 3 7 3 4 4 1 1 1
45131 0 0 0 2 5 2 5 6 1 1 1
44565 0 0 0 2 4 3 5 3 2 1 1
44005 0 0 0 3 4 5 5 4 1 1 1
43453 0 0 0 4 3 1 4 4 1 2 2
42908 0 0 0 5 1 6 3 5 1 1 1
42369 0 0 0 4 4 6 2 6 0 1 1
41838 0 0 0 7 2 5 4 6 0 1 1
41313 0 0 0 8 3 3 5 7 0 0 1
40794 0 0 0 7 3 3 7 2 0 0 1
40282 0 0 0 5 1 7 3 4 0 0 0
39777 0 0 0 4 3 7 5 5 0 0 0
39278 0 0 0 6 3 3 4 5 1 0 0
38785 0 0 0 5 5 1 4 3 1 0 0
38298 0 0 0 4 4 3 4 3 1 0 0
37817 0 0 0 6 1 3 3 7 1 0 0
37343 0 0 0 7 1 3 3 7 1 0 1
36874 0 0 0 7 1 3 3 8 1 0 1
36411 0 0 0 4 7 2 5 5 1 0 1
35954 0 0 0 4 2 3 4 6 1 2 0
35503 0 0 0 5 6 2 3 4 1 2 0
35058 0 0 0 7 4 3 3 4 0 2 0
34618 0 0 0 6 2 2 3 6 0 1 0
34183 0 0 0 6 3 3 4 5 0 0 0
33754 0 0 0 6 3 5 3 5 1 1 0
33331 0 0 0 7 4 1 5 3 1 1 0
32912 0 0 0 6 3 3 3 4 1 1 1
32499 0 0 0 6 4 1 5 5 1 2 0
32092 0 0 0 8 3 1 3 6 1 1 0
31689 0 0 0 7 5 3 3 7 0 1 0
31291 0 0 0 6 5 3 4 7 0 2 0
30899 0 0 0 4 6 2 3 5 0 2 0
30511 0 0 0 6 5 4 3 4 1 1 0
30128 0 0 0 5 5 4 5 5 1 0 0
29750 0 0 0 5 4 5 4 4 1 1 0
29376 0 0 0 8 4 1 2 5 3 0 0
29008 0 0 0 7 4 3 1 6 3 0 0
28644 0 0 0 5 4 4 3 6 3 0 0
28284 0 0 0 6 3 2 5 5 3 0 0
27929 0 0 0 5 3 2 5 5 2 0 0
27579 0 0 0 4 4 3 5 5 3 0 0
27233 0 0 0 4 5 2 3 6 2 0 0
26891 0 0 0 6 3 2 4 5 2 1 0
26554 0 0 0 7 2 3 3 5 2 0 0
26220 0 0 0 6 4 4 4 5 2 0 0
25891 0 0 0 8 4 3 3 4 3 1 0
25566 0 0 0 7 3 3 2 4 2 0 0
25246 0 0 0 7 2 4 2 5 2 0 0
24929 0 0 0 4 3 5 2 6 2 0 0
24616 0 0 0 4 3 3 3 5 2 0 0
24307 0 0 0 4 3 3 4 5 2 0 0
24002 0 0 0 6 4 2 4 4 2 0 0
23701 0 0 0 5 4 3 4 4 2 1 0
23403 0 0 0 4 2 2 7 4 1 0 0
23110 0 0 0 5 3 1 5 5 1 0 1
22820 0 0 0 8 2 1 5 6 1 0 1
22533 0 0 0 7 3 1 5 6 1 0 0
22250 0 0 0 7 3 1 4 6 1 0 0
21971 0 0 0 6 3 0 5 6 1 0 0
21696 0 0 0 5 3 1 6 6 2 0 0
21423 0 0 0 5 3 2 5 5 2 0 0
21154 0 0 0 5 5 1 5 8 1 0 0
20889 0 0 0 5 2 1 7 7 1 0 0
20627 0 0 0 7 3 3 5 4 2 0 0
20368 0 0 0 8 0 4 6 4 3 0 0
20112 0 0 0 8 2 6 4 4 3 0 0
19860 0 0 0 8 1 6 4 4 2 0 0
19611 0 0 0 9 1 5 3 5 2 0 1
19365 0 0 0 6 3 3 4 5 2 1 0
19122 0 0 0 6 0 2 7 5 2 1 0
18882 0 0 0 7 1 2 7 5 2 0 0
18645 0 0 0 7 1 4 4 5 2 0 0
18411 0 0 0 8 1 3 7 4 1 1 0
18180 0 0 0 7 4 4 3 7 1 0 0
17952 0 0 0 6 6 3 4 7 1 0 0
17726 0 0 0 5 6 3 2 9 1 0 0
17504 0 0 0 8 5 2 2 9 1 0 0
17284 0 0 0 9 4 2 2 9 2 0 0
17067 0 0 0 9 2 2 2 8 3 0 0
16853 0 0 0 6 2 5 2 8 2 0 0
16642 0 0 0 6 3 3 3 6 3 0 0
16433 0 0 0 7 3 5 3 6 3 0 0
16226 0 0 0 5 4 5 5 4 3 0 0
16023 0 0 0 6 3 4 5 4 3 0 0
