# Layer PE (kcal/mol)
17 -215992
19 -239740
21 -263545
23 -287304
25 -311099
27 -334856
29 -358652
31 -382420
33 -406205
35 -429984
37 -453758
39 -477554
41 -501328  charge order state = -501312
43 -525107
45 -548911
47 -572696
