500000 32 29 27 26 31 27 31 18 18 18 18 18 18 18 18 18 18 18 18
450000 29 32 25 27 33 31 31 18 18 18 18 18 18 18 18 18 18 18 18
405000 25 29 28 32 30 29 28 18 18 18 18 18 18 18 18 18 18 18 18
364500 31 24 31 28 24 27 28 18 18 18 18 18 18 18 18 18 18 18 18
328050 28 29 27 26 30 30 30 18 18 18 18 18 18 18 18 18 18 18 18
295245 33 32 28 32 26 22 30 18 18 18 18 18 18 18 18 18 18 18 18
265720 28 29 33 29 27 26 33 18 18 18 18 18 18 18 18 18 18 18 18
239148 30 30 26 32 21 27 34 18 18 18 18 18 18 18 18 18 18 18 18
215233 29 34 31 28 29 28 32 18 18 18 18 18 18 18 18 18 18 18 18
193709 29 28 26 31 30 27 32 18 18 18 18 18 18 18 18 18 18 18 18
174338 29 28 28 28 25 29 30 18 18 18 18 18 18 18 18 18 18 18 18
156904 28 29 25 28 32 28 30 18 18 18 18 18 18 18 18 18 18 18 18
141213 35 28 30 27 27 26 30 18 18 18 18 18 18 18 18 18 18 18 18
127091 31 32 24 25 33 25 35 18 18 18 18 18 18 18 18 18 18 18 18
114381 34 25 27 26 29 28 31 18 18 18 18 18 18 18 18 18 18 18 18
102942 31 26 31 26 27 31 35 18 18 18 18 18 18 18 18 18 18 18 18
92647 32 27 25 27 30 30 32 18 18 18 18 18 18 18 18 18 18 18 18
83382 30 28 26 26 33 28 30 18 18 18 18 18 18 18 18 18 18 18 18
75043 32 28 25 27 27 28 32 18 18 18 18 18 18 18 18 18 18 18 18
67538 33 26 29 27 31 26 30 18 18 18 18 18 18 18 18 18 18 18 18
60784 32 24 26 31 26 28 32 18 18 18 18 18 18 18 18 18 18 18 18
54705 34 31 29 21 32 28 31 18 18 18 18 18 18 18 18 18 18 18 18
49234 28 31 24 25 29 27 33 18 18 18 18 18 18 18 18 18 18 18 18
44310 31 28 25 27 25 28 34 18 18 18 18 18 18 18 18 18 18 18 18
39879 34 32 16 29 22 34 30 18 18 18 18 18 18 18 18 18 18 18 18
35891 32 28 26 28 26 24 36 18 18 18 18 18 18 18 18 18 18 18 18
32301 30 30 25 25 25 27 36 18 18 18 18 18 18 18 18 18 18 18 18
29070 32 25 28 27 27 25 36 18 18 18 18 18 18 18 18 18 18 18 18
26163 30 34 30 18 26 29 36 18 18 18 18 18 18 18 18 18 18 18 18
23546 30 32 28 25 26 29 36 18 18 18 18 18 18 18 18 18 18 18 18
21191 32 34 29 26 21 29 36 18 18 18 18 18 18 18 18 18 18 18 18
19071 35 28 25 22 25 23 36 18 18 18 18 18 18 18 18 18 18 18 18
