# layer-swp-min
17 -214169.7 -215992.16
21 -261535.63 -263545.4
25 -308901.56 -311098.56
29 -356267.44 -358651.71
33 -403633.39 -406204.96
37 -450999.51 -453758.39
41 -498284.58 -501327.69
